bug.id,package.name,dir.src.classes
1,org.jfree,source
2,org.jfree,source
3,org.jfree,source
4,org.jfree,source
5,org.jfree,source
6,org.jfree,source
7,org.jfree,source
8,org.jfree,source
9,org.jfree,source
10,org.jfree,source
11,org.jfree,source
12,org.jfree,source
13,org.jfree,source
14,org.jfree,source
15,org.jfree,source
16,org.jfree,source
17,org.jfree,source
18,org.jfree,source
19,org.jfree,source
20,org.jfree,source
21,org.jfree,source
22,org.jfree,source
23,org.jfree,source
24,org.jfree,source
25,org.jfree,source
26,org.jfree,source
