bug.id,package.name,dir.src.classes
1,org.apache.commons.codec,src/java
2,org.apache.commons.codec,src/java
3,org.apache.commons.codec,src/java
4,org.apache.commons.codec,src/java
5,org.apache.commons.codec,src/java
6,org.apache.commons.codec,src/java
7,org.apache.commons.codec,src/java
8,org.apache.commons.codec,src/java
9,org.apache.commons.codec,src/java
10,org.apache.commons.codec,src/java
11,org.apache.commons.codec,src/main/java
12,org.apache.commons.codec,src/main/java
13,org.apache.commons.codec,src/main/java
14,org.apache.commons.codec,src/main/java
15,org.apache.commons.codec,src/main/java
16,org.apache.commons.codec,src/main/java
17,org.apache.commons.codec,src/main/java
18,org.apache.commons.codec,src/main/java
